# frame_no	ssrc	rtp_ts	seq_first	seq_last	seq_count	gaps	frame_id	frame_size_bytes	frame_type	qp	complexity	scene_change	gop_state	idr_inserted	frames_since_idr	capture_us	frame_ready_us	last_pkt_send_us	meta_recv_us	recv_first_us	recv_last_us	sender_ivl_us	recv_ivl_us	encode_dur_us	send_spread_us	latency_est_us
42	2393f73a	749961100	43655	43670	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950319640	7950321362	-	9668	-	-	-
43	2393f73a	749961850	43671	43686	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950328318	7950329999	-	8678	-	-	-
44	2393f73a	749962600	43687	43702	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950335829	7950337504	-	7511	-	-	-
45	2393f73a	749963350	43703	43724	22	0	45	29418	0	0	112	0	0	0	754	829737052	829744640	829745334	7950344813	7950342425	7950344814	115240	6596	7588	694	2872
46	2393f73a	749964100	43725	43746	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950352532	7950354941	-	10107	-	-	-
47	2393f73a	749964850	43747	43768	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950361420	7950363846	-	8888	-	-	-
48	2393f73a	749965600	43769	43790	22	0	48	29991	0	0	111	0	0	0	757	829762188	829773742	829776190	7950375095	7950371908	7950375096	29102	10488	11554	2448	4052
49	2393f73a	749966350	43791	43812	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950380104	7950382515	-	8196	-	-	-
50	2393f73a	749967100	43813	43834	22	0	50	30140	0	0	110	0	0	0	759	829778974	829789205	829789835	7950389471	7950386979	7950389477	15463	6875	10231	630	2970
51	2393f73a	749967850	43835	43850	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950395480	7950397221	-	8501	-	-	-
52	2393f73a	749968600	43851	43866	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950402838	7950404530	-	7358	-	-	-
53	2393f73a	749969350	43867	43882	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950409787	7950411474	-	6949	-	-	-
54	2393f73a	749970100	43883	43898	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950420409	7950422065	-	10622	-	-	-
55	2393f73a	749970850	43899	43919	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950428815	7950431158	-	8406	-	-	-
56	2393f73a	749971600	43920	43941	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950436877	7950439281	-	8062	-	-	-
57	2393f73a	749972350	43942	43963	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950446676	7950449056	-	9799	-	-	-
58	2393f73a	749973100	43964	43985	22	0	58	30024	0	0	111	0	0	0	767	829846020	829856106	829857417	7950456343	7950453864	7950456349	66901	7188	10086	1311	2941
59	2393f73a	749973850	43986	44007	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950461949	7950464313	-	8085	-	-	-
60	2393f73a	749974600	44008	44029	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950470680	7950473088	-	8731	-	-	-
61	2393f73a	749975350	44030	44051	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950479387	7950482280	-	8707	-	-	-
62	2393f73a	749976100	44052	44067	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950485212	7950486949	-	5825	-	-	-
63	2393f73a	749976850	44068	44083	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950495680	7950497374	-	10468	-	-	-
64	2393f73a	749977600	44084	44099	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950504224	7950505906	-	8544	-	-	-
65	2393f73a	749978350	44100	44121	22	0	65	29501	0	0	110	0	0	0	774	829904795	829915627	829916231	7950515774	7950513384	7950515775	59521	9160	10832	604	2846
66	2393f73a	749979100	44122	44143	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950521229	7950523615	-	7845	-	-	-
