# frame_no	ssrc	rtp_ts	seq_first	seq_last	seq_count	gaps	frame_id	frame_size_bytes	frame_type	qp	complexity	scene_change	gop_state	idr_inserted	frames_since_idr	capture_us	frame_ready_us	last_pkt_send_us	meta_recv_us	recv_first_us	recv_last_us	sender_ivl_us	recv_ivl_us	encode_dur_us	send_spread_us	latency_est_us
41	f5586978	226219300	1740	1755	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	11968209187	11968210920	-	10596	-	-	-
42	f5586978	226220050	1756	1777	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	11968217570	11968219978	-	8383	-	-	-
43	f5586978	226220800	1778	1793	16	0	43	21609	0	0	87	0	0	0	1081	4847490214	4847499337	4847499779	11968226810	11968225065	11968226813	32590	7495	9123	442	2161
44	f5586978	226221550	1794	1815	22	0	44	29561	0	0	110	0	0	0	1082	4847498596	4847508471	4847509075	11968236610	11968234234	11968236611	9134	9169	9875	604	2825
45	f5586978	226222300	1816	1837	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	11968242959	11968245345	-	8725	-	-	-
46	f5586978	226223050	1838	1853	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	11968250497	11968252236	-	7538	-	-	-
47	f5586978	226223800	1854	1874	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	11968259585	11968261917	-	9088	-	-	-
48	f5586978	226224550	1875	1896	22	0	48	29512	0	0	109	0	0	0	1086	4847532137	4847541378	4847542070	11968269493	11968267107	11968269494	32907	7522	9241	692	2801
49	f5586978	226225300	1897	1912	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	11968275261	11968277012	-	8154	-	-	-
50	f5586978	226226050	1913	1934	22	0	50	29510	0	0	109	0	0	0	1088	4847548879	4847559131	4847560235	11968287243	11968284857	11968287243	17753	9596	10252	1104	2797
51	f5586978	226226800	1935	1956	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	11968292418	11968294838	-	7561	-	-	-
52	f5586978	226227550	1957	1972	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	11968300565	11968302300	-	8147	-	-	-
53	f5586978	226228300	1973	1994	22	0	53	29448	0	0	109	0	0	0	1091	4847574029	4847583861	4847584444	11968311974	11968309598	11968311974	24730	9033	9832	583	2798
54	f5586978	226229050	1995	2010	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	11968317876	11968319573	-	8278	-	-	-
55	f5586978	226229800	2011	2032	22	0	55	29401	0	0	109	0	0	0	1093	4847590790	4847600198	4847600791	11968328318	11968325930	11968328319	16337	8054	9408	593	2806
56	f5586978	226230550	2033	2054	22	0	56	30006	0	0	110	0	0	0	1094	4847599175	4847609247	4847610751	11968337428	11968335009	11968337429	9049	9079	10072	1504	2867
57	f5586978	226231300	2055	2070	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	11968342349	11968344095	-	7340	-	-	-
58	f5586978	226232050	2071	2092	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	11968351878	11968354266	-	9529	-	-	-
59	f5586978	226232800	2093	2108	16	0	59	21823	0	0	88	0	0	0	1097	4847624324	4847631742	4847632193	11968359220	11968357485	11968359221	22495	5607	7418	451	2164
60	f5586978	226233550	2109	2130	22	0	60	29840	0	0	110	0	0	0	1098	4847632708	4847639803	4847640449	11968368001	11968365538	11968368007	8061	8053	7095	646	2889
