# frame_no	ssrc	rtp_ts	seq_first	seq_last	seq_count	gaps	frame_id	frame_size_bytes	frame_type	qp	complexity	scene_change	gop_state	idr_inserted	frames_since_idr	capture_us	frame_ready_us	last_pkt_send_us	meta_recv_us	recv_first_us	recv_last_us	sender_ivl_us	recv_ivl_us	encode_dur_us	send_spread_us	latency_est_us
42	b5a10464	1830116694	61902	61938	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23235159557	23235163369	-	16830	-	-	-
43	b5a10464	1830118219	61939	61984	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23235176162	23235181420	-	16605	-	-	-
44	b5a10464	1830119744	61985	62030	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23235193111	23235198400	-	16949	-	-	-
45	b5a10464	1830121269	62031	62076	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23235209975	23235215266	-	16864	-	-	-
46	b5a10464	1830122794	62077	62123	47	0	7899	64376	0	0	115	0	0	0	7	650420833	650425507	650426724	23235233241	23235227901	23235233242	203265	17926	4674	1217	6170
47	b5a10464	1830124319	62124	62169	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23235243920	23235249225	-	16019	-	-	-
48	b5a10464	1830125844	62170	62216	47	0	7901	64315	0	0	114	0	0	0	9	650454693	650458378	650459757	23235266112	23235261037	23235266113	32871	17117	3685	1379	6170
49	b5a10464	1830127369	62217	62262	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23235277806	23235283121	-	16769	-	-	-
50	b5a10464	1830128894	62263	62308	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23235294705	23235299981	-	16899	-	-	-
51	b5a10464	1830130419	62309	62354	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23235311605	23235316889	-	16900	-	-	-
52	b5a10464	1830131944	62355	62400	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23235329721	23235334712	-	18116	-	-	-
53	b5a10464	1830133469	62401	62446	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23235345905	23235350917	-	16184	-	-	-
54	b5a10464	1830134994	62447	62492	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23235362276	23235367127	-	16371	-	-	-
55	b5a10464	1830136519	62493	62529	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23235379760	23235383542	-	17484	-	-	-
56	b5a10464	1830138044	62530	62566	37	0	7909	51016	0	0	93	0	0	0	17	650590204	650593892	650594872	23235400489	23235396654	23235400490	135514	16894	3688	980	5033
57	b5a10464	1830139569	62567	62603	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23235413583	23235417419	-	16929	-	-	-
