# frame_no	ssrc	rtp_ts	seq_first	seq_last	seq_count	gaps	frame_id	frame_size_bytes	frame_type	qp	complexity	scene_change	gop_state	idr_inserted	frames_since_idr	capture_us	frame_ready_us	last_pkt_send_us	meta_recv_us	recv_first_us	recv_last_us	sender_ivl_us	recv_ivl_us	encode_dur_us	send_spread_us	latency_est_us
40	e14a9e8b	2139602015	35884	35899	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12450825746	12450827423	-	8354	-	-	-
41	e14a9e8b	2139602765	35900	35921	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12450835054	12450837448	-	9308	-	-	-
42	e14a9e8b	2139603515	35922	35943	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12450842568	12450845014	-	7514	-	-	-
43	e14a9e8b	2139604265	35944	35959	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12450850888	12450852578	-	8320	-	-	-
44	e14a9e8b	2139605015	35960	35981	22	0	44	30158	0	0	111	0	0	0	239	5330110617	5330119338	5330120621	12450862868	12450860356	12450862877	200602	9468	8721	1283	2948
45	e14a9e8b	2139605765	35982	35997	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12450867979	12450869665	-	7623	-	-	-
46	e14a9e8b	2139606515	35998	36019	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12450876170	12450878552	-	8191	-	-	-
47	e14a9e8b	2139607265	36020	36041	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12450886222	12450888693	-	10052	-	-	-
48	e14a9e8b	2139608015	36042	36057	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12450893586	12450895297	-	7364	-	-	-
49	e14a9e8b	2139608765	36058	36079	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12450901353	12450903753	-	7767	-	-	-
50	e14a9e8b	2139609515	36080	36095	16	0	50	21197	0	0	86	0	0	0	245	5330160918	5330168166	5330168652	12450910854	12450909164	12450910855	48828	7811	7248	486	2098
51	e14a9e8b	2139610265	36096	36117	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12450917438	12450919819	-	8274	-	-	-
52	e14a9e8b	2139611015	36118	36139	22	0	52	30191	0	0	111	0	0	0	247	5330177676	5330185259	5330185892	12450928687	12450926248	12450928688	17093	8810	7583	633	2838
53	e14a9e8b	2139611765	36140	36155	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12450934218	12450935919	-	7970	-	-	-
54	e14a9e8b	2139612515	36156	36177	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12450942553	12450944966	-	8335	-	-	-
55	e14a9e8b	2139613265	36178	36193	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12450951705	12450953343	-	9152	-	-	-
56	e14a9e8b	2139614015	36194	36215	22	0	56	29402	0	0	109	0	0	0	251	5330211195	5330221169	5330222211	12450964669	12450962309	12450964671	35910	10604	9974	1042	2911
57	e14a9e8b	2139614765	36216	36237	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12450967645	12450970092	-	5336	-	-	-
58	e14a9e8b	2139615515	36238	36253	16	0	58	21058	0	0	86	0	0	0	253	5330227963	5330235765	5330236585	12450978472	12450976814	12450978473	14596	9169	7802	820	2117
